#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.2357173065e+00    5.0193555814e+00   -4.0368966099e+00    1.8011793033e+00    1.9425679828e+00   -7.9602954515e+00    1.8552203682e-01    1.7953088221e+00    2.1760000000e+04    2.1788989358e-02    5.8066980699e-01
         1   -2.2375485105e+00    5.0299196450e+00   -4.0740548187e+00    1.8365063083e+00    1.9451163379e+00   -7.9931567807e+00    1.7867680194e-01    1.7953088221e+00    2.1760000000e+04    2.1182537955e-02    5.8166934743e-01
         2   -2.2356568938e+00    5.0192077953e+00   -4.0583984432e+00    1.8227415494e+00    1.9445541470e+00   -7.9825887181e+00    1.8432730585e-01    1.7953088221e+00    2.1760000000e+04    2.0943309454e-02    5.7896943934e-01
         3   -2.2375869735e+00    5.0285409980e+00   -4.0922436064e+00    1.8546566329e+00    1.9437993091e+00   -8.0101039092e+00    1.7875217158e-01    1.7953088221e+00    2.1760000000e+04    2.0856486086e-02    5.7884306066e-01
         4   -2.2364991443e+00    5.0281320336e+00   -4.0638564515e+00    1.8273573072e+00    1.9364057116e+00   -7.9611385807e+00    1.6556759559e-01    1.7953088221e+00    2.1760000000e+04    2.0732607912e-02    5.8150275735e-01
         5   -2.2375316721e+00    5.0302426418e+00   -4.0726051280e+00    1.8350734560e+00    1.9488048066e+00   -8.0044416791e+00    1.8772292242e-01    1.7953088221e+00    2.1760000000e+04    2.0791736815e-02    5.8259420956e-01
         6   -2.2373657825e+00    5.0278347731e+00   -4.0315461282e+00    1.7941803457e+00    1.9338662255e+00   -7.9402554062e+00    1.7953423036e-01    1.7953088221e+00    2.1760000000e+04    2.0808611942e-02    5.8154296875e-01
         7   -2.2368620757e+00    5.0260429442e+00   -4.0411613819e+00    1.8042993061e+00    1.9421213532e+00   -7.9585668078e+00    1.7997525062e-01    1.7953088221e+00    2.1760000000e+04    2.0801930086e-02    5.8381778493e-01
         8   -2.2377592601e+00    5.0299948979e+00   -4.0929915510e+00    1.8552322909e+00    1.9365330162e+00   -7.9882337528e+00    1.6340036354e-01    1.7953088221e+00    2.1760000000e+04    2.0686659743e-02    5.7863051471e-01
         9   -2.2381838057e+00    5.0310307816e+00   -4.0945960270e+00    1.8564122214e+00    1.9443882220e+00   -8.0136118906e+00    1.7931881956e-01    1.7953088221e+00    2.1760000000e+04    2.0704412066e-02    5.7984834559e-01
        10   -2.2364929240e+00    5.0260462523e+00   -4.0384445714e+00    1.8019516474e+00    1.9362511457e+00   -7.9493702363e+00    1.7936569712e-01    1.7953088221e+00    2.1760000000e+04    2.0721416482e-02    5.8239315257e-01
        11   -2.2376142159e+00    5.0275212029e+00   -4.1024605204e+00    1.8648463045e+00    1.9454314664e+00   -8.0226305010e+00    1.7942969210e-01    1.7953088221e+00    2.1760000000e+04    2.0740587922e-02    5.7954388787e-01
        12   -2.2368576117e+00    5.0260954804e+00   -4.0478338030e+00    1.8109761912e+00    1.9410854269e+00   -7.9737731367e+00    1.8954508470e-01    1.7953088221e+00    2.1760000000e+04    2.0778541837e-02    5.8071001838e-01
        13   -2.2391052789e+00    5.0356793680e+00   -4.0607830021e+00    1.8216777232e+00    1.9458710521e+00   -7.9812103359e+00    1.7924745964e-01    1.7953088221e+00    2.1760000000e+04    2.0836260389e-02    5.8030790441e-01
        14   -2.2396601051e+00    5.0378804328e+00   -4.0942131716e+00    1.8545530665e+00    1.9494124283e+00   -8.0188287050e+00    1.7989428302e-01    1.7953088221e+00    2.1760000000e+04    2.0784084849e-02    5.7647058824e-01
        15   -2.2381465080e+00    5.0320304446e+00   -4.0560599485e+00    1.8179134405e+00    1.9354368096e+00   -7.9681414953e+00    1.8133591511e-01    1.7953088221e+00    2.1760000000e+04    2.0715205328e-02    5.7969898897e-01
        16   -2.2392551671e+00    5.0351539645e+00   -4.0500660131e+00    1.8108108459e+00    1.9378887114e+00   -7.9675720038e+00    1.8430845723e-01    1.7953088221e+00    2.1760000000e+04    2.0757974728e-02    5.8056066176e-01
        17   -2.2387940575e+00    5.0336895299e+00   -4.0427366068e+00    1.8039425493e+00    1.9437289784e+00   -7.9654523509e+00    1.8367794359e-01    1.7953088221e+00    2.1760000000e+04    2.0758734687e-02    5.8188189338e-01
        18   -2.2391211066e+00    5.0353813421e+00   -4.0712057897e+00    1.8320846832e+00    1.9420158337e+00   -7.9866320370e+00    1.7810159157e-01    1.7953088221e+00    2.1760000000e+04    2.0760479438e-02    5.8143382353e-01
        19   -2.2390792708e+00    5.0336512525e+00   -4.1224739071e+00    1.8833946363e+00    1.9462905198e+00   -8.0405652176e+00    1.7649196864e-01    1.7953088221e+00    2.1760000000e+04    2.0789140945e-02    5.7720013787e-01
        20   -2.2383717595e+00    5.0331029299e+00   -4.1034738941e+00    1.8651021346e+00    1.9484126563e+00   -8.0218986004e+00    1.7470322802e-01    1.7953088221e+00    2.1760000000e+04    2.0761230194e-02    5.7823988971e-01
        21   -2.2373216040e+00    5.0267386355e+00   -4.0829608578e+00    1.8456392539e+00    1.9419494043e+00   -7.9977107218e+00    1.7749163753e-01    1.7953088221e+00    2.1760000000e+04    2.0923229263e-02    5.7834903493e-01
        22   -2.2381203373e+00    5.0319023684e+00   -4.0799520577e+00    1.8418317204e+00    1.9441686451e+00   -8.0055447528e+00    1.8611522792e-01    1.7953088221e+00    2.1760000000e+04    2.1250646123e-02    5.8100298713e-01
        23   -2.2380386604e+00    5.0357094067e+00   -4.0674901165e+00    1.8294514560e+00    1.9390542041e+00   -7.9835825605e+00    1.8172941782e-01    1.7953088221e+00    2.1760000000e+04    2.0736597259e-02    5.7978515625e-01
        24   -2.2371963934e+00    5.0282588421e+00   -4.0560758260e+00    1.8188794325e+00    1.9418417874e+00   -7.9766499331e+00    1.8342349768e-01    1.7953088221e+00    2.1760000000e+04    2.0731249715e-02    5.7974494485e-01
        25   -2.2366211772e+00    5.0268648527e+00   -4.0905504677e+00    1.8539292906e+00    1.9465901892e+00   -8.0189458996e+00    1.8649642061e-01    1.7953088221e+00    2.1760000000e+04    2.0718368976e-02    5.7899816176e-01
        26   -2.2382974242e+00    5.0346423334e+00   -4.0677772880e+00    1.8294798638e+00    1.9373648226e+00   -7.9752868309e+00    1.7483589819e-01    1.7953088221e+00    2.1760000000e+04    2.0768323365e-02    5.7774586397e-01
        27   -2.2354125687e+00    5.0227261578e+00   -4.0559338061e+00    1.8205212375e+00    1.9376668648e+00   -7.9651416394e+00    1.7623214639e-01    1.7953088221e+00    2.1760000000e+04    2.0672146012e-02    5.7964728860e-01
        28   -2.2366776286e+00    5.0259431509e+00   -4.0633026058e+00    1.8266249773e+00    1.9413828392e+00   -7.9814436034e+00    1.8144933634e-01    1.7953088221e+00    2.1760000000e+04    2.0787672085e-02    5.7953239890e-01
        29   -2.2371456501e+00    5.0255457704e+00   -4.0767255622e+00    1.8395799121e+00    1.9449035425e+00   -8.0002692518e+00    1.8333132497e-01    1.7953088221e+00    2.1760000000e+04    2.0741897033e-02    5.7830882353e-01
        30   -2.2380897341e+00    5.0304979712e+00   -4.0943024231e+00    1.8562126889e+00    1.9400195408e+00   -8.0099970350e+00    1.8036624908e-01    1.7953088221e+00    2.1760000000e+04    2.0687412251e-02    5.8028492647e-01
        31   -2.2388781517e+00    5.0341228730e+00   -4.0669649709e+00    1.8280868192e+00    1.9410761975e+00   -7.9849356897e+00    1.8158569923e-01    1.7953088221e+00    2.1760000000e+04    2.0785615506e-02    5.7973345588e-01
        32   -2.2352258353e+00    5.0188691390e+00   -4.0652138270e+00    1.8299879916e+00    1.9413322490e+00   -7.9901206212e+00    1.8826572307e-01    1.7953088221e+00    2.1760000000e+04    2.0773186184e-02    5.7709673713e-01
        33   -2.2355514393e+00    5.0197893771e+00   -4.1016514959e+00    1.8661000566e+00    1.9448771455e+00   -8.0195567049e+00    1.7771924148e-01    1.7953088221e+00    2.1760000000e+04    2.0756347434e-02    5.7856158088e-01
        34   -2.2359795747e+00    5.0212218393e+00   -4.0545337516e+00    1.8185541769e+00    1.9359658743e+00   -7.9632927702e+00    1.7748432220e-01    1.7953088221e+00    2.1760000000e+04    2.0756603821e-02    5.8062385110e-01
        35   -2.2370078453e+00    5.0254500669e+00   -4.0713797143e+00    1.8343718691e+00    1.9496133808e+00   -7.9987318609e+00    1.8242994369e-01    1.7953088221e+00    2.1760000000e+04    2.0793513121e-02    5.7882008272e-01
        36   -2.2370260361e+00    5.0277377959e+00   -4.0549181851e+00    1.8178921490e+00    1.9402873466e+00   -7.9740848492e+00    1.8357049543e-01    1.7953088221e+00    2.1760000000e+04    2.0749032497e-02    5.7942899816e-01
        37   -2.2389538653e+00    5.0342541835e+00   -4.0590711800e+00    1.8201173148e+00    1.9360773598e+00   -7.9619371995e+00    1.7147983754e-01    1.7953088221e+00    2.1760000000e+04    2.0752498990e-02    5.8066406250e-01
        38   -2.2391083907e+00    5.0368868688e+00   -4.0662978276e+00    1.8271894369e+00    1.9412757867e+00   -7.9854108484e+00    1.8252841200e-01    1.7953088221e+00    2.1760000000e+04    2.0714585176e-02    5.8152573529e-01
        39   -2.2377282368e+00    5.0282884121e+00   -4.0458617050e+00    1.8081334682e+00    1.9368934116e+00   -7.9627102328e+00    1.8464629402e-01    1.7953088221e+00    2.1760000000e+04    2.0707102164e-02    5.8257123162e-01
        40   -2.2357295087e+00    5.0198383618e+00   -4.0729919188e+00    1.8372624101e+00    1.9347174428e+00   -7.9924021730e+00    1.8938398935e-01    1.7953088221e+00    2.1760000000e+04    2.0738775458e-02    5.8150850184e-01
        41   -2.2363897593e+00    5.0253570825e+00   -4.0673261779e+00    1.8309364186e+00    1.9431199108e+00   -7.9835917713e+00    1.7783686055e-01    1.7953088221e+00    2.1760000000e+04    2.0698630196e-02    5.7821691176e-01
        42   -2.2368558567e+00    5.0283692225e+00   -4.0790750405e+00    1.8422191838e+00    1.9415999584e+00   -7.9933839336e+00    1.7740011252e-01    1.7953088221e+00    2.1760000000e+04    2.0712718587e-02    5.7755055147e-01
        43   -2.2381158181e+00    5.0302151749e+00   -4.0554582166e+00    1.8173423985e+00    1.9400637615e+00   -7.9644160648e+00    1.7358526464e-01    1.7953088221e+00    2.1760000000e+04    2.0735085668e-02    5.8092830882e-01
        44   -2.2368216263e+00    5.0236885448e+00   -4.0422314260e+00    1.8054097997e+00    1.9434514937e+00   -7.9587391273e+00    1.7774738561e-01    1.7953088221e+00    2.1760000000e+04    2.0770886146e-02    5.7915326287e-01
        45   -2.2357213390e+00    5.0235331690e+00   -4.1006557437e+00    1.8649344048e+00    1.9449752526e+00   -8.0232076589e+00    1.8226784056e-01    1.7953088221e+00    2.1760000000e+04    2.1375598934e-02    5.7888327206e-01
        46   -2.2362658758e+00    5.0247387558e+00   -4.0472966236e+00    1.8110307478e+00    1.9401033339e+00   -7.9667089455e+00    1.8400016588e-01    1.7953088221e+00    2.1760000000e+04    2.0835623803e-02    5.8155445772e-01
        47   -2.2376949912e+00    5.0299805175e+00   -4.0928005680e+00    1.8551055768e+00    1.9391614634e+00   -8.0013561340e+00    1.7408528048e-01    1.7953088221e+00    2.1760000000e+04    2.0757069483e-02    5.7829159007e-01
        48   -2.2364444362e+00    5.0280878530e+00   -4.0451088918e+00    1.8086644555e+00    1.9425752539e+00   -7.9705254495e+00    1.8753248172e-01    1.7953088221e+00    2.1760000000e+04    2.0767917966e-02    5.8092256434e-01
        49   -2.2370340774e+00    5.0284437416e+00   -4.1116848797e+00    1.8746508024e+00    1.9474623937e+00   -8.0348355567e+00    1.8037946115e-01    1.7953088221e+00    2.1760000000e+04    2.0732753855e-02    5.7845243566e-01
        50   -2.2363552328e+00    5.0232101594e+00   -4.0622984156e+00    1.8259431828e+00    1.9368910718e+00   -7.9682122080e+00    1.7371389846e-01    1.7953088221e+00    2.1760000000e+04    2.0744104596e-02    5.8157743566e-01
        51   -2.2378980938e+00    5.0318705407e+00   -4.0880540791e+00    1.8501559854e+00    1.9451357688e+00   -8.0009542285e+00    1.7245555850e-01    1.7953088221e+00    2.1760000000e+04    2.0763752215e-02    5.8039981618e-01
        52   -2.2394984669e+00    5.0371843652e+00   -4.0628072853e+00    1.8233088184e+00    1.9380407286e+00   -7.9830658686e+00    1.8690903260e-01    1.7953088221e+00    2.1760000000e+04    2.0724281011e-02    5.8086511949e-01
        53   -2.2374939169e+00    5.0281464535e+00   -4.0530854899e+00    1.8155915730e+00    1.9381379526e+00   -7.9644146266e+00    1.7788236203e-01    1.7953088221e+00    2.1760000000e+04    2.0806330749e-02    5.8145680147e-01
        54   -2.2379328493e+00    5.0312112873e+00   -4.0685371021e+00    1.8306042528e+00    1.9433358346e+00   -7.9919899284e+00    1.8480816971e-01    1.7953088221e+00    2.1760000000e+04    2.0760545836e-02    5.7737821691e-01
        55   -2.2371987650e+00    5.0268897420e+00   -4.0391177470e+00    1.8019189819e+00    1.9431123396e+00   -7.9603220120e+00    1.8278310340e-01    1.7953088221e+00    2.1760000000e+04    2.0771513090e-02    5.7999195772e-01
        56   -2.2359897687e+00    5.0215459720e+00   -4.0780131695e+00    1.8420234008e+00    1.9438993009e+00   -7.9981739871e+00    1.8095269464e-01    1.7953088221e+00    2.1760000000e+04    2.0782426219e-02    5.8058938419e-01
        57   -2.2356240406e+00    5.0222556080e+00   -4.0701969962e+00    1.8345729555e+00    1.9421004351e+00   -7.9897789613e+00    1.8217270788e-01    1.7953088221e+00    2.1760000000e+04    2.0723094835e-02    5.8089958640e-01
