#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
        23   -2.2319028540e+00    4.9972030161e+00   -4.0524933749e+00    1.8205905209e+00    1.9596731665e+00   -8.0139186800e+00    2.0644331644e-01    1.7953088221e+00    3.2000000000e+02    1.9884318113e-02    6.9843750000e-01
        24   -2.2273554336e+00    4.9904223189e+00   -4.2517288510e+00    2.0243734174e+00    1.9188394685e+00   -8.1251179589e+00    1.5924081736e-01    1.7953088221e+00    3.2000000000e+02    1.9458740950e-02    6.9492187500e-01
        25   -2.2485774569e+00    5.0822642893e+00   -4.1920928178e+00    1.9435153609e+00    1.8984011908e+00   -7.9814456565e+00    9.5642825808e-02    1.7953088221e+00    3.2000000000e+02    1.9606471062e-02    6.6796875000e-01
        26   -2.2259802982e+00    4.9683384185e+00   -3.9507970636e+00    1.7248167653e+00    1.9249235071e+00   -7.9142094234e+00    2.4318003066e-01    1.7953088221e+00    3.2000000000e+02    1.9443124533e-02    6.9726562500e-01
        27   -2.2635336772e+00    5.1421362219e+00   -4.3750333174e+00    2.1114996401e+00    1.9407466851e+00   -8.3043918413e+00    1.9330301670e-01    1.7953088221e+00    3.2000000000e+02    2.0164817572e-02    6.8593750000e-01
        28   -2.2358095369e+00    5.0172161482e+00   -4.4461241588e+00    2.2103146219e+00    1.9641745040e+00   -8.3795172268e+00    1.7390974186e-01    1.7953088221e+00    3.2000000000e+02    1.9714608788e-02    6.8984375000e-01
        29   -2.2362795432e+00    5.0143485549e+00   -4.0697608121e+00    1.8334812689e+00    1.9626827535e+00   -7.9966561157e+00    1.6890372810e-01    1.7953088221e+00    3.2000000000e+02    1.9797071815e-02    6.9218750000e-01
        30   -2.2484823232e+00    5.0719279814e+00   -3.9871205559e+00    1.7386382327e+00    2.0100954771e+00   -7.9424048848e+00    1.4988002973e-01    1.7953088221e+00    3.2000000000e+02    1.9960820675e-02    6.9492187500e-01
        31   -2.2300409027e+00    4.9922326674e+00   -3.8129622980e+00    1.5829213954e+00    1.9023155587e+00   -7.6822259346e+00    1.7163925572e-01    1.7953088221e+00    3.2000000000e+02    1.9564554095e-02    7.0195312500e-01
        32   -2.2485764135e+00    5.0728446437e+00   -3.8121699746e+00    1.5635935611e+00    1.9054659837e+00   -7.7205634566e+00    2.0761867631e-01    1.7953088221e+00    3.2000000000e+02    1.9158333540e-02    7.0429687500e-01
