#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
        23   -2.2397658103e+00    5.0488746583e+00   -3.8454966415e+00    1.6057308312e+00    1.9379707878e+00   -7.8033536691e+00    2.2457741774e-01    1.7953088221e+00    3.2000000000e+02    8.0296099186e-03    7.0585937500e-01
        24   -2.2295035399e+00    4.9934744894e+00   -3.9000681273e+00    1.6705645875e+00    1.9157935072e+00   -7.8194738889e+00    2.0830343227e-01    1.7953088221e+00    3.2000000000e+02    7.8932493925e-03    6.9609375000e-01
        25   -2.2307722265e+00    5.0204804996e+00   -4.0829676191e+00    1.8521953926e+00    1.9854409826e+00   -8.1210938388e+00    2.5737641504e-01    1.7953088221e+00    3.2000000000e+02    8.1136822701e-03    7.0156250000e-01
        26   -2.2410170918e+00    5.0383340259e+00   -4.0635102529e+00    1.8224931611e+00    1.9263025717e+00   -7.9851010041e+00    1.9997935739e-01    1.7953088221e+00    3.2000000000e+02    8.0140084028e-03    7.0117187500e-01
        27   -2.2342482899e+00    5.0048203037e+00   -3.8296723786e+00    1.5954240887e+00    1.9175467231e+00   -7.7407621184e+00    1.9823419467e-01    1.7953088221e+00    3.2000000000e+02    7.8926533461e-03    7.0742187500e-01
        28   -2.2279032280e+00    4.9793165133e+00   -3.9122020838e+00    1.6842988558e+00    1.9062268531e+00   -7.7912349504e+00    1.7749719155e-01    1.7953088221e+00    3.2000000000e+02    8.0523043871e-03    7.1601562500e-01
        29   -2.2359116863e+00    5.0215137307e+00   -4.1916550268e+00    1.9557433405e+00    2.0075013528e+00   -8.1300126498e+00    1.3554744814e-01    1.7953088221e+00    3.2000000000e+02    8.0104619265e-03    6.7695312500e-01
        30   -2.2391420718e+00    5.0283216063e+00   -3.8098446632e+00    1.5707025914e+00    1.9288581081e+00   -7.7236401772e+00    1.8962858391e-01    1.7953088221e+00    3.2000000000e+02    8.0195963383e-03    7.0000000000e-01
        31   -2.2460547503e+00    5.0603942337e+00   -4.0064592755e+00    1.7604045252e+00    1.8778677997e+00   -7.8946896809e+00    2.1505378363e-01    1.7953088221e+00    3.2000000000e+02    7.8286230564e-03    6.9257812500e-01
        32   -2.2495551271e+00    5.0715048307e+00   -4.1421604532e+00    1.8926053261e+00    1.9767214301e+00   -8.0830038322e+00    1.6881312684e-01    1.7953088221e+00    3.2000000000e+02    8.0304443836e-03    6.8242187500e-01
        33   -2.2309823997e+00    4.9890636391e+00   -3.7888358911e+00    1.5578534914e+00    1.8832390172e+00   -7.6527808595e+00    1.8539712906e-01    1.7953088221e+00    3.2000000000e+02    7.9137533903e-03    6.9179687500e-01
        34   -2.2534106516e+00    5.1106858492e+00   -3.9602157762e+00    1.7068051246e+00    1.9416457244e+00   -7.8174734281e+00    1.2030310535e-01    1.7953088221e+00    3.2000000000e+02    8.0254375935e-03    7.1914062500e-01
        35   -2.2337675518e+00    5.0034348098e+00   -3.8472887800e+00    1.6135212281e+00    1.9175599788e+00   -7.7471221285e+00    1.8696454766e-01    1.7953088221e+00    3.2000000000e+02    8.0157369375e-03    7.0781250000e-01
        36   -2.2477646557e+00    5.0711319517e+00   -4.1704110400e+00    1.9226463843e+00    1.9013837630e+00   -8.0732866082e+00    2.0618298319e-01    1.7953088221e+00    3.2000000000e+02    7.8979432583e-03    7.0156250000e-01
        37   -2.2451102399e+00    5.0512002999e+00   -4.1295532607e+00    1.8844430209e+00    2.0614988050e+00   -8.2005421019e+00    2.1418121416e-01    1.7953088221e+00    3.2000000000e+02    8.2479119301e-03    6.9140625000e-01
        38   -2.2390849442e+00    5.0259593672e+00   -4.0565672771e+00    1.8174823329e+00    1.9260681215e+00   -7.9459604158e+00    1.6801619518e-01    1.7953088221e+00    3.2000000000e+02    7.9443156719e-03    7.0507812500e-01
        39   -2.2351379969e+00    5.0068430941e+00   -4.0998604769e+00    1.8647224800e+00    1.9044595717e+00   -7.9748738194e+00    1.7524494872e-01    1.7953088221e+00    3.2000000000e+02    7.8809410334e-03    7.0078125000e-01
        40   -2.2610196972e+00    5.1479064080e+00   -4.0249141241e+00    1.7638944270e+00    1.9263654384e+00   -7.8946120640e+00    1.4802367936e-01    1.7953088221e+00    3.2000000000e+02    8.0229490995e-03    7.0000000000e-01
        41   -2.2413831650e+00    5.0360574501e+00   -4.1567630122e+00    1.9153798472e+00    1.8902739322e+00   -7.9728945947e+00    1.3054882822e-01    1.7953088221e+00    3.2000000000e+02    8.0714672804e-03    7.0117187500e-01
        42   -2.2373673340e+00    5.0193331452e+00   -4.1580366579e+00    1.9206693240e+00    1.9114233606e+00   -8.0456381504e+00    1.8086930979e-01    1.7953088221e+00    3.2000000000e+02    7.8299492598e-03    6.8750000000e-01
        43   -2.2234129315e+00    5.0463198234e+00   -4.1544734180e+00    1.9310604865e+00    1.9282490039e+00   -7.8372238261e+00   -4.0807417893e-02    1.7953088221e+00    3.2000000000e+02    8.0949515104e-03    6.9335937500e-01
        44   -2.2408569142e+00    5.0681393815e+00   -4.1201772797e+00    1.8793203655e+00    2.0010901285e+00   -8.1527022773e+00    2.3612604700e-01    1.7953088221e+00    3.2000000000e+02    8.1563591957e-03    6.8085937500e-01
        45   -2.2498483603e+00    5.0799355194e+00   -4.2670947232e+00    2.0172463630e+00    1.9307707827e+00   -8.2051967254e+00    2.1202239742e-01    1.7953088221e+00    3.2000000000e+02    7.9663246870e-03    6.9140625000e-01
        46   -2.2587490207e+00    5.1798241033e+00   -4.1147578561e+00    1.8560088354e+00    1.9291702024e+00   -7.9484523695e+00    1.0921548893e-01    1.7953088221e+00    3.2000000000e+02    8.0615282059e-03    7.0468750000e-01
        47   -2.2403105880e+00    5.0497072656e+00   -4.0397241019e+00    1.7994135138e+00    1.9758574237e+00   -7.9953173894e+00    1.8442704172e-01    1.7953088221e+00    3.2000000000e+02    8.3275288343e-03    7.2031250000e-01
        48   -2.2446838141e+00    5.0516383721e+00   -3.9537950926e+00    1.7091112785e+00    1.8962575142e+00   -7.8156638098e+00    1.7030238097e-01    1.7953088221e+00    3.2000000000e+02    8.0451071262e-03    7.1484375000e-01
        49   -2.2420591732e+00    5.0406343249e+00   -4.0903997084e+00    1.8483405352e+00    1.9776091827e+00   -8.1272453597e+00    2.6392764653e-01    1.7953088221e+00    3.2000000000e+02    8.0457329750e-03    6.8125000000e-01
        50   -2.2552001261e+00    5.1240772092e+00   -3.9922710116e+00    1.7370708855e+00    1.9192819525e+00   -7.8314425502e+00    1.2458076402e-01    1.7953088221e+00    3.2000000000e+02    7.9138129950e-03    7.0468750000e-01
        51   -2.2293962559e+00    4.9919772840e+00   -4.3259367069e+00    2.0965404510e+00    2.0146327439e+00   -8.3595973903e+00    2.2371911742e-01    1.7953088221e+00    3.2000000000e+02    8.1009566784e-03    6.8710937500e-01
