walltime,energy
0,-2.2419(13)
50,-2.2466(13)
100,-2.2468(14)
150,-2.2456(12)
200,-2.2453(13)
250,-2.2461(13)
300,-2.2451(13)
350,-2.2442(12)
400,-2.2461(13)
450,-2.2443(12)
500,-2.2447(13)
550,-2.2454(13)
600,-2.2461(14)
650,-2.2450(13)
700,-2.2439(13)
750,-2.2445(12)
800,-2.2458(14)
850,-2.2422(13)
900,-2.2483(17)
