walltime,energy
0,-2.2402(13)
50,-2.2442(14)
100,-2.2465(14)
150,-2.2438(13)
200,-2.2474(13)
250,-2.2491(14)
300,-2.2486(15)
350,-2.2470(15)
400,-2.2460(15)
450,-2.2502(16)
500,-2.2533(19)
550,-2.2500(15)
600,-2.2520(17)
650,-2.2556(20)
700,-2.2573(21)
750,-2.2580(19)
800,-2.2621(24)
850,-2.2667(24)
900,-2.2788(29)
