walltime,energy
0,-2.2455(14)
50,-2.2444(14)
100,-2.2423(14)
150,-2.2449(14)
200,-2.2460(13)
250,-2.2479(15)
300,-2.2436(13)
350,-2.2437(14)
400,-2.2469(14)
450,-2.2450(13)
500,-2.2451(13)
550,-2.2434(14)
600,-2.2473(15)
650,-2.2452(15)
700,-2.2444(13)
750,-2.2435(13)
800,-2.2487(16)
850,-2.2481(14)
900,-2.2431(17)
