#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       1.426478522611e-02       5.213146134096e+01
1.921000000000e-02       1.236633871281e-01       5.198435757670e+01
3.621000000000e-02       2.315094331120e-01       5.160564701086e+01
5.321000000000e-02       3.364970319262e-01       5.100040715036e+01
7.021000000000e-02       4.374161043509e-01       5.017668098925e+01
8.721000000000e-02       5.331784310834e-01       4.914531054543e+01
1.042100000000e-01       6.228405248110e-01       4.791970212287e+01
1.212100000000e-01       7.056222887224e-01       4.651553312823e+01
1.382100000000e-01       7.809207903042e-01       4.495042118204e+01
1.552100000000e-01       8.483184331593e-01       4.324355598670e+01
1.722100000000e-01       9.075851928488e-01       4.141530838207e+01
1.892100000000e-01       9.586748860669e-01       3.948683016802e+01
2.062100000000e-01       1.001715545158e+00       3.747964873316e+01
2.232100000000e-01       1.036994545780e+00       3.541527523603e+01
2.402100000000e-01       1.064939124129e+00       3.331483000525e+01
2.572100000000e-01       1.086093301932e+00       3.119869648031e+01
2.742100000000e-01       1.101092364532e+00       2.908621215340e+01
2.912100000000e-01       1.110636032919e+00       2.699539922982e+01
3.082100000000e-01       1.115461609793e+00       2.494274294226e+01
3.252100000000e-01       1.116318196730e+00       2.294301753693e+01
3.422100000000e-01       1.113943021720e+00       2.100916211095e+01
3.592100000000e-01       1.109040690134e+00       1.915220566294e+01
3.762100000000e-01       1.102265996207e+00       1.738123897220e+01
3.932100000000e-01       1.094210636214e+00       1.570343040130e+01
4.102100000000e-01       1.085393991410e+00       1.412408121308e+01
4.272100000000e-01       1.076257888817e+00       1.264671549867e+01
4.442100000000e-01       1.067165035430e+00       1.127319863315e+01
4.612100000000e-01       1.058400751079e+00       1.000387923031e+01
4.782100000000e-01       1.050177390121e+00       8.837747523068e+00
4.952100000000e-01       1.042640897082e+00       7.772605195154e+00
5.122100000000e-01       1.035878848528e+00       6.805240822183e+00
5.292100000000e-01       1.029929359772e+00       5.931605446951e+00
5.462100000000e-01       1.024790335060e+00       5.146984767046e+00
5.632100000000e-01       1.020428540993e+00       4.446162997473e+00
5.802100000000e-01       1.016788141948e+00       3.823576154095e+00
5.972100000000e-01       1.013798393129e+00       3.273452031243e+00
6.142100000000e-01       1.011380297199e+00       2.789934996339e+00
6.312100000000e-01       1.009452127032e+00       2.367195130488e+00
6.482100000000e-01       1.007933786097e+00       1.999520690074e+00
6.652100000000e-01       1.006750051685e+00       1.681394466461e+00
6.822100000000e-01       1.005832791516e+00       1.407554425213e+00
6.992100000000e-01       1.005122284089e+00       1.173039528759e+00
7.162100000000e-01       1.004567783293e+00       9.732221116170e-01
7.332100000000e-01       1.004127488324e+00       8.038280503378e-01
7.502100000000e-01       1.003768063264e+00       6.609463621932e-01
7.672100000000e-01       1.003463847448e+00       5.410297467434e-01
7.842100000000e-01       1.003195880568e+00       4.408876590960e-01
8.012100000000e-01       1.002950839791e+00       3.576733719591e-01
8.182100000000e-01       1.002719975224e+00       2.888664766234e-01
8.352100000000e-01       1.002498100043e+00       2.322520482848e-01
8.522100000000e-01       1.002282678217e+00       1.858976173038e-01
8.692100000000e-01       1.002073034710e+00       1.481289591151e-01
8.862100000000e-01       1.001869697706e+00       1.175054426896e-01
9.032100000000e-01       1.001673874337e+00       9.279570231401e-02
9.202100000000e-01       1.001487051141e+00       7.295408628207e-02
9.372100000000e-01       1.001310706644e+00       5.709830735200e-02
9.542100000000e-01       1.001146119772e+00       4.448859929066e-02
9.712100000000e-01       1.000994256991e+00       3.450850057247e-02
9.882100000000e-01       1.000855720939e+00       2.664742895907e-02
1.005210000000e+00       1.000730744905e+00       2.048502156852e-02
1.022210000000e+00       1.000619219132e+00       1.567723164616e-02
1.039210000000e+00       1.000520737089e+00       1.194412187432e-02
1.056210000000e+00       1.000434652449e+00       9.059222521217e-03
1.073210000000e+00       1.000360139286e+00       6.840368429327e-03
1.090210000000e+00       1.000296250415e+00       5.141856617753e-03
1.107210000000e+00       1.000241970311e+00       3.847797846712e-03
1.124210000000e+00       1.000196260531e+00       2.866529742962e-03
1.141210000000e+00       1.000158096756e+00       2.125947312439e-03
1.158210000000e+00       1.000126497328e+00       1.569641255649e-03
1.175210000000e+00       1.000100543800e+00       1.153719496973e-03
1.192210000000e+00       1.000079394373e+00       8.442126367167e-04
1.209210000000e+00       1.000062291303e+00       6.149720964962e-04
1.226210000000e+00       1.000048563387e+00       4.459752917999e-04
1.243210000000e+00       1.000037624690e+00       3.219719557655e-04
1.260210000000e+00       1.000028970491e+00       2.314073959653e-04
1.277210000000e+00       1.000022171363e+00       1.655724896221e-04
1.294210000000e+00       1.000016866130e+00       1.179372782669e-04
1.311210000000e+00       1.000012754286e+00       8.363071898725e-05
1.328210000000e+00       1.000009588354e+00       5.903810585405e-05
1.345210000000e+00       1.000007166505e+00       4.149072005663e-05
1.362210000000e+00       1.000005325651e+00       2.902827560435e-05
1.379210000000e+00       1.000003935187e+00       2.021824816779e-05
1.396210000000e+00       1.000002891409e+00       1.401895295486e-05
1.413210000000e+00       1.000002112653e+00       0.000000000000e+00
1.430210000000e+00       1.000001535124e+00       0.000000000000e+00
1.447210000000e+00       1.000001109368e+00       0.000000000000e+00
1.464210000000e+00       1.000000797343e+00       0.000000000000e+00
1.481210000000e+00       1.000000569995e+00       0.000000000000e+00
1.498210000000e+00       1.000000405295e+00       0.000000000000e+00
1.515210000000e+00       1.000000286658e+00       0.000000000000e+00
1.532210000000e+00       1.000000201681e+00       0.000000000000e+00
1.549210000000e+00       1.000000141153e+00       0.000000000000e+00
1.566210000000e+00       1.000000098278e+00       0.000000000000e+00
1.583210000000e+00       1.000000068073e+00       0.000000000000e+00
1.600210000000e+00       1.000000046910e+00       0.000000000000e+00
1.617210000000e+00       1.000000032162e+00       0.000000000000e+00
1.634210000000e+00       1.000000021938e+00       0.000000000000e+00
1.651210000000e+00       1.000000014889e+00       0.000000000000e+00
1.668210000000e+00       1.000000010055e+00       0.000000000000e+00
1.685210000000e+00       1.000000006756e+00       0.000000000000e+00
1.702210000000e+00       1.000000004517e+00       0.000000000000e+00
1.719210000000e+00       1.000000003005e+00       0.000000000000e+00
1.736210000000e+00       1.000000001990e+00       0.000000000000e+00
1.753210000000e+00       1.000000001311e+00       0.000000000000e+00
1.770210000000e+00       1.000000000859e+00       0.000000000000e+00
1.787210000000e+00       1.000000000561e+00       0.000000000000e+00
1.804210000000e+00       1.000000000364e+00       0.000000000000e+00
1.821210000000e+00       1.000000000235e+00       0.000000000000e+00
1.838210000000e+00       1.000000000151e+00       0.000000000000e+00
1.855210000000e+00       1.000000000097e+00       0.000000000000e+00
1.872210000000e+00       1.000000000062e+00       0.000000000000e+00
1.889210000000e+00       1.000000000039e+00       0.000000000000e+00
1.906210000000e+00       1.000000000025e+00       0.000000000000e+00
1.923210000000e+00       1.000000000016e+00       0.000000000000e+00
1.940210000000e+00       1.000000000010e+00       0.000000000000e+00
1.957210000000e+00       1.000000000006e+00       0.000000000000e+00
1.974210000000e+00       1.000000000004e+00       0.000000000000e+00
1.991210000000e+00       1.000000000002e+00       0.000000000000e+00
2.008210000000e+00       1.000000000001e+00       0.000000000000e+00
